Display Name,Barcode,Case
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Navy)",884913285392,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Peach)",884913544185,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Red)",884913313392,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-True-Royal)",884913313477,72
"BC_3001CVC_Unisex-Tee_RM  (3XL, Athletic-Heather)",884913054547,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Dark-Grey-Heather)",884913111400,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Heather-Aqua)",884913545755,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Heather-Ice-Blue)",884913640573,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Heather-Kelly)",884913388888,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Heather-Mauve)",884913634374,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Heather-Navy)",884913343948,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Heather-Peach)",884913544192,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Heather-Red)",884913343955,60
"BC_3001CVC_Unisex-Tee_RM  (3XL, Heather-True-Royal)",884913343986,60
"BC_3001_Unisex-Tee_RM  (S, Aqua)",884913156708,72
"BC_3001_Unisex-Tee_RM  (S, Army)",846503015604,72
"BC_3001_Unisex-Tee_RM  (S, Ash)",884913234291,72
"BC_3001_Unisex-Tee_RM  (S, Asphalt)",884913111288,72
"BC_3001_Unisex-Tee_RM  (S, Baby-Blue)",884913286801,72
"BC_3001_Unisex-Tee_RM  (S, Black)",846503015659,72
"BC_3001_Unisex-Tee_RM  (S, Brown)",846503015703,72
"BC_3001_Unisex-Tee_RM  (S, Charity-Pink)",884913639645,72
"BC_3001_Unisex-Tee_RM  (S, Dark-Grey)",884913388741,72
"BC_3001_Unisex-Tee_RM  (S, Gold)",884913236486,72
"BC_3001_Unisex-Tee_RM  (S, Kelly)",846503015857,72
"BC_3001_Unisex-Tee_RM  (S, Maroon)",884913057050,72
"BC_3001_Unisex-Tee_RM  (S, Natural)",884913389229,72
"BC_3001_Unisex-Tee_RM  (S, Navy)",846503015956,72
"BC_3001_Unisex-Tee_RM  (S, Orange)",884913157002,72
"BC_3001_Unisex-Tee_RM  (S, Pink)",846503016007,72
"BC_3001_Unisex-Tee_RM  (S, Red)",884913111004,72
"BC_3001_Unisex-Tee_RM  (S, Silver)",884913057197,72
"BC_3001_Unisex-Tee_RM  (S, Soft-Cream)",884913111493,72
"BC_3001_Unisex-Tee_RM  (S, Team-Purple)",884913057289,72
"BC_3001_Unisex-Tee_RM  (S, True-Royal)",846503054979,72
"BC_3001_Unisex-Tee_RM  (S, Turquoise)",884913286818,72
"BC_3001_Unisex-Tee_RM  (S, White)",846503016106,72
"BC_3001_Unisex-Tee_RM  (S, Yellow)",884913157187,72
"BC_3001_Unisex-Tee_RM  (M, Aqua)",884913156715,72
"BC_3001_Unisex-Tee_RM  (M, Army)",846503015611,72
